Name,Latitude,Longitude
Tarnow,50.012100,20.985842
Sosnowiec,50.286263,19.104078
Tarnowskie Gory,50.435947,18.846025
Poznan,52.406376,16.925167
Torun,53.013790,18.598444
Zielona Gora,51.935619,15.506186
Szczecin,53.428543,14.552812
Rzeszow,50.041187,21.999121
Krakow,50.049683,19.944544
Olsztyn,53.770226,20.490189
Bydgoszcz,53.123482,18.008438
Poznan,52.409538,16.931992
Wroclaw,51.107883,17.038538
Rybnik,50.096798,18.542936
Opole,50.671062,17.926126
Elblag,54.156059,19.404490
Lodz,51.759445,19.457216
Kolobrzeg,54.175919,15.583267
Lublin,51.246452,22.568445
Chelm,51.143124,23.471199
Warsaw,52.237049,21.017532
Katowice,50.270908,19.039993
Tychy,50.124981,19.009438
Gdansk,54.372158,18.638306
Ozorkow. MY CITY ,51.963649,19.287096
